id,userName,date,score,text,sentimiento,appId,id_anotador,notas,thumbsUp;
32e76724-1b18-4a01-b7ad-70a3ca939116,David Garcia,2025-10-23,5,muy buena la aplicaciÃ³n la recomiendo muchoo,positivo,com.spotify.music,,,0;
724da28e-11fe-4291-9990-83a615080123,Luis Castillo,2025-10-23,5,me encanta escuchar esa musica,positivo,com.spotify.music,,,0;
2cbdf996-0df1-4e12-be2b-2ebf906a511e,B B,2025-10-23,5,me encanta es mi compaÃ±ero,positivo,com.spotify.music,,,0;
36341617-6380-48e6-8cf7-ba1c7a56b37d,Juan Gaona,2025-10-23,5,muy buena ðŸ¥°,positivo,com.spotify.music,,,0;
01f82897-771b-4e0f-88f9-8f1be827ad72,Juan Hernandez,2025-10-23,5,muy buena aplicaciÃ³n,positivo,com.spotify.music,,,0;
df5fdcce-c74e-4f72-a905-bce83e2a79a5,AnahÃ­,2025-10-23,5,Es buena la aplicaciÃ³n.,positivo,com.spotify.music,,,0;
8d4be6bc-0dc5-4fcd-a125-7c75ab3300b4,Dereck Jaramillo,2025-10-23,5,super buena aplicaciÃ³n la recomiendo de demasiado no contiene anuncios,positivo,com.spotify.music,,,0;
"d269eef4-5d98-497f-8cb1-f0994f1c24c0,Perla LÃ³pez,2025-10-23,5,""tiene buena musica, me encanta el ritmo,me encanta que no se trava,si busco algo me aparese en un parpadeo y es muy bueno con las musicas!!!!!!!ðŸ¤©ðŸ¤©ðŸ¤©"",positivo,com.spotify.music,,,0";
cb5174b6-0c20-4a5c-a21e-ea0f97596ff6,jose osorio,2025-10-23,5,Great ðŸ˜ƒðŸ‘,positivo,com.spotify.music,,,0;
8b4a5f78-c8bf-4959-a800-4d822bdaad65,Jhon Florian,2025-10-23,5,es. mui. bueno,positivo,com.spotify.music,,,0;
b13af93e-e670-4539-a13c-c76a30df4394,David Solis,2025-10-23,5,muy bueno,positivo,com.spotify.music,,,0;
2c891140-7bea-419c-adfd-35faa9bc0b7d,Katherine Villarroel,2025-10-23,5,Funciona super me encanta,positivo,com.spotify.music,,,0;
c5b4c4f7-7202-4894-9b07-2ddc358e33db,Rosana Romero,2025-10-23,5,excelente ðŸ‘Œ,positivo,com.spotify.music,,,0;
"bcdf33a4-98ec-43ac-aa98-dfe454462054,Fernando HernÃ¡ndez nuÃ±o,2025-10-23,5,""Esta aplicaciÃ³n es muy buena tiene buena calidad, es una de las apps de musica mejores del mundo ademÃ¡s la recomiendo mucho es muy buena me encanta la aplicaciÃ³n ðŸ˜ƒ es muy padre ademÃ¡s que tiene muchas funciones se las recomiendo mucho. Gracias por ver bonito dÃ­a."",positivo,com.spotify.music,,,0";
129d5ba0-0ac8-4ad6-9bfc-115c7e94f1ee,Perez velazquez,2025-10-23,5,buena aplicaciÃ³n puedo escuchar en mi telÃ©fono apagado tambiÃ©n,positivo,com.spotify.music,,,0;
ce51b217-c69d-4848-beed-8be0f29496d2,MarÃ­a de JesÃºs GÃ³mez,2025-10-23,5,nehðŸ¤¨,positivo,com.spotify.music,,,0;
9ed0a6d6-c554-43e4-8d63-7d57fad4acbe,Zadkiel,2025-10-23,5,PS la nta si vale la pena pagarlo,positivo,com.spotify.music,,,0;
